code,name,isin,isin2,fund_house,inception_date,end_date,amfi_fund_type,amfi_category,ms_name,ms_category,ms_investment_style,ms_id,kuvera_name,kuvera_fund_category,kuvera_code
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,,Aditya Birla Sun Life Mutual Fund,03-04-2006,,Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund Growth,Large & Mid-Cap,Large Growth,F0GBR06S60,,,
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,INF209K01CE5,Aditya Birla Sun Life Mutual Fund,03-04-2006,,Equity Scheme,Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund Rnvstmnt Inc Dist cum Cap Wdrl,Large & Mid-Cap,Large Growth,F00000Z7GT,,,
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,INF209K01587,INF209K01CY3,Aditya Birla Sun Life Mutual Fund,03-04-2006,,Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund Regular Plan Quarterly Reinvestment Inc Dist cum Cap Wdrl,Medium to Long Duration,,F00000Z7IB,,,
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,,Aditya Birla Sun Life Mutual Fund,03-04-2006,,Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund Regular Plan Growth,Medium to Long Duration,,F0GBR06S8J,,,
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,,INF209K01KN9,Aditya Birla Sun Life Mutual Fund,02-04-2006,,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund Institutional Daily Reinvestment Inc Dist cum Cap Wdrl,Liquid,,F0GBR06S69,,,
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,,Aditya Birla Sun Life Mutual Fund,02-04-2006,,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund Retail Growth,Liquid,,F0GBR06S6J,,,
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,,Aditya Birla Sun Life Mutual Fund,02-04-2006,,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund Institutional Growth,Liquid,,F0GBR06S6B,,,
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,,INF209K01KP4,Aditya Birla Sun Life Mutual Fund,02-04-2006,,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund Retail Daily Reinvestment Inc Dist cum Cap Wdrl,Liquid,,F0GBR06S6I,,,
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,INF209K01KQ2,INF209K01SQ5,Aditya Birla Sun Life Mutual Fund,02-04-2006,,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Regular Plan Daily Reinvestment Inc Dist cum Cap Wdrl,Liquid,,F00000Z7H5,,,
100047,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,,Aditya Birla Sun Life Mutual Fund,02-04-2006,,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Regular Plan Growth,Liquid,,F0GBR06S6F,,,
